"parcel_id","num_changes","tot_rent_change","total_days_on_market","initial_rent","days_til_first_change","first_change_amt","days_til_second_change","second_change_amt","days_til_third_change","third_change_amt","days_til_fourth_change","fourth_change_amt","days_til_fifth_change","fifth_change_amt","parcel_number","parcel_county","parcel_address1","parcel_address2","parcel_city","parcel_state","parcel_zipcode","parcel_longitude","parcel_latitude","land_use","acres","sqft_total","bedroom_count","bathroom_count","year_built","last_sale","last_price","total_value"
"17065345","0",,"12","2437",,,,,,,,,,,"091326053","San Luis Obispo","540 LINDON LN","","NIPOMO","CA","93444","-120.493073","35.043548","165","1.2367998","0","0","0.000",,"1989-03-30","150000","873955"
"17069011","0",,"10","1100",,,,,,,,,,,"448391019","Riverside","2327 CALLAO CT","","HEMET","CA","92545","-116.996053","33.751922","385","0.1399908","827","2","1.000","1976","2012-02-21","49000","53973"
"17077911","0",,"12","1200",,,,,,,,,,,"029043006000","Tehama","240 ENCINAL DR","","RED BLUFF","CA","96080","-122.242302","40.188724","385","0.1666437","1231","3","2.000","1957","2013-05-22","78000","86099"
"17078185","1","-100","12","3350","12","-100",,,,,,,,,"46760004","Santa Clara","144 S 3RD ST","UNIT 133","SAN JOSE","CA","95112","-121.885512","37.334465","366","0.0192837","1542","2","2.500","1997","2003-08-18","427500","544224"
"17080551","0",,"12","1395",,,,,,,,,,,"7280006093","Los Angeles","325 W 3RD ST","UNIT 208","LONG BEACH","CA","90802","-118.195828","33.770821","366","0.1716483","426","0","1.000","1924","2004-10-29","0","17842"
"17084390","0",,"4","3395",,,,,,,,,,,"2861053095","Los Angeles","24518 WINDSOR DR","UNIT A","VALENCIA","CA","91355","-118.564914","34.400749","366","4.8182507","1850","3","3.000","1989","2017-07-31","625000","637500"
"17085137","0",,"12","1600",,,,,,,,,,,"005062009000","Humboldt","1760 I ST","","EUREKA","CA","95501","-124.160406","40.791503","385","0.0899908","0","0","0.000",,"2011-06-17","98500","113122"
"17085617","0",,"7","1750",,,,,,,,,,,"40956220","Kern","12319 FAIRBURN WAY","","BAKERSFIELD","CA","93312","-119.139665","35.362458","385","0.1800046","1894","4","2.000","2004","2019-04-10","230000","193662"
"17085639","0",,"12","3300",,,,,,,,,,,"65502105","Orange","29751 PRESTON DR","","LAGUNA NIGUEL","CA","92677","-117.724332","33.531408","385","0.1659320","1448","4","2.000","1968","2013-06-27","520000","574028"
"17086846","0",,"5","1495",,,,,,,,,,,"14803700750000","Sacramento","165 STERLING OAK DR","","GALT","CA","95632","-121.316620","38.256756","385","0.1500000","1255","3","2.000","1992","2016-03-30","0","262116"
"17087605","0",,"12","8500",,,,,,,,,,,"04820137","Orange","1526 E OCEAN BLVD","","NEWPORT BEACH","CA","92661","-117.890307","33.598276","385","0.0658861","1871","3","2.000","1948","2011-11-10","1400000","1576376"
